#n	Model	Matrix_t1	Matrix_t2	Matrix_t3
411	0.0630382	0.0810101	0.105003	0.100843
412	0.0634997	0.0766662	0.105508	0.102438
413	0.0639634	0.0836375	0.108056	0.102307
414	0.0644293	0.0800435	0.11112	0.103075
415	0.0648975	0.083923	0.110922	0.10194
416	0.065368	0.0849733	0.108335	0.105731
417	0.0658407	0.0845184	0.112677	0.10558
418	0.0663157	0.0821721	0.113652	0.105296
419	0.066793	0.0919941	0.112328	0.108276
420	0.0672725	0.0816447	0.11544	0.107441
421	0.0677544	0.0900082	0.117132	0.107494
422	0.0682386	0.0846848	0.117844	0.111159
423	0.068725	0.094215	0.119035	0.110699
424	0.0692138	0.083381	0.112356	0.111326
425	0.0697048	0.0920986	0.117415	0.112426
426	0.0701982	0.0866458	0.119483	0.117856
427	0.0706939	0.0941611	0.121452	0.115546
428	0.071192	0.0876209	0.12438	0.118167
429	0.0716923	0.0970691	0.123929	0.115265
430	0.072195	0.0908037	0.13055	0.124398
431	0.0727001	0.100269	0.125588	0.120408
432	0.0732075	0.0952783	0.129538	0.12562
433	0.0737173	0.100395	0.128074	0.123699
434	0.0742294	0.0945275	0.128926	0.123398
435	0.0747439	0.100402	0.130412	0.124961
436	0.0752607	0.0988105	0.137358	0.129571
437	0.07578	0.103682	0.133903	0.130059
438	0.0763016	0.0958165	0.131732	0.12926
439	0.0768256	0.10838	0.138776	0.130618
440	0.077352	0.100064	0.140324	0.136389
441	0.0778808	0.107161	0.133141	0.131953
442	0.078412	0.109584	0.137933	0.134769
443	0.0789456	0.110863	0.146275	0.13829
444	0.0794817	0.0991623	0.140529	0.137529
445	0.0800201	0.115835	0.149604	0.137822
446	0.080561	0.104954	0.145884	0.135691
447	0.0811043	0.108932	0.146166	0.13027
448	0.08165	0.106087	0.141463	0.137452
449	0.0821982	0.108421	0.19107	0.17105
450	0.0827489	0.106087	0.169111	0.171092
451	0.083302	0.113326	0.160752	0.165237
452	0.0838575	0.106619	0.163753	0.156117
453	0.0844155	0.113456	0.160801	0.165215
454	0.084976	0.106373	0.165191	0.162685
455	0.085539	0.115051	0.162304	0.1642
456	0.0861044	0.106337	0.187056	0.171445
457	0.0866723	0.116605	0.171094	0.165793
458	0.0872428	0.113503	0.172783	0.170749
459	0.0878157	0.117861	0.178816	0.171924
460	0.0883911	0.108879	0.184502	0.189438
461	0.088969	0.12359	0.168842	0.182142
462	0.0895495	0.114454	0.170959	0.172773
463	0.0901324	0.125319	0.1879	0.177974
464	0.0907179	0.125793	0.181415	0.17858
465	0.0913059	0.124812	0.178067	0.180974
466	0.0918965	0.117916	0.176964	0.183473
467	0.0924896	0.124702	0.177013	0.182701
468	0.0930852	0.119782	0.184698	0.17901
469	0.0936834	0.128109	0.178513	0.186141
470	0.0942841	0.121538	0.188643	0.182711
471	0.0948874	0.133568	0.18971	0.193378
472	0.0954933	0.120779	0.189786	0.188383
473	0.0961018	0.137488	0.186838	0.19928
474	0.0967128	0.124364	0.198419	0.20894
475	0.0973264	0.132629	0.185853	0.1931
476	0.0979426	0.122336	0.187508	0.187601
477	0.0985614	0.13722	0.196442	0.213422
478	0.0991828	0.132705	0.191054	0.19045
479	0.0998068	0.139399	0.191311	0.194247
480	0.100433	0.130643	0.199433	0.191624
481	0.101063	0.138997	0.192769	0.194521
482	0.101695	0.136516	0.209864	0.211384
483	0.102329	0.138314	0.195928	0.193984
484	0.102966	0.128696	0.198236	0.205743
485	0.103606	0.138337	0.199696	0.196648
486	0.104248	0.136999	0.201276	0.199955
487	0.104893	0.143442	0.22608	0.222627
488	0.105541	0.135811	0.200388	0.215156
489	0.106191	0.150245	0.21274	0.202729
490	0.106844	0.142365	0.20946	0.216265
491	0.1075	0.151507	0.216011	0.237745
492	0.108159	0.139247	0.25429	0.264388
493	0.10882	0.151958	0.210787	0.20881
494	0.109483	0.148445	0.256755	0.245551
495	0.11015	0.157801	0.25911	0.276151
496	0.110819	0.145613	0.273211	0.266165
497	0.111491	0.158373	0.258947	0.248808
498	0.112165	0.150957	0.266887	0.284249
499	0.112843	0.162686	0.265087	0.255427
500	0.113523	0.147746	0.273273	0.249152
